TempHighF,TempAvgF,TempLowF,DewPointHighF,DewPointAvgF,DewPointLowF,HumidityHighPercent,HumidityAvgPercent,HumidityLowPercent,SeaLevelPressureHighInches,SeaLevelPressureAvgInches,SeaLevelPressureLowInches,VisibilityHighMiles,VisibilityAvgMiles,VisibilityLowMiles,WindHighMPH,WindAvgMPH,WindGustMPH,PrecipitationSumInches
74,60,45,67,49,43,93,75,57,29.86,29.68,29.59,10,7,2,20,4,31,0.46
56,48,39,43,36,28,93,68,43,30.41,30.13,29.87,10,10,5,16,6,25,0
58,45,32,31,27,23,76,52,27,30.56,30.49,30.41,10,10,10,8,3,12,0
61,46,31,36,28,21,89,56,22,30.56,30.45,30.3,10,10,7,12,4,20,0
58,50,41,44,40,36,86,71,56,30.41,30.33,30.27,10,10,7,10,2,16,0.10360927152317884
57,48,39,39,36,33,79,63,47,30.47,30.4,30.34,10,9,7,12,3,17,0
60,53,45,41,39,37,83,65,47,30.46,30.39,30.34,10,9,7,7,1,11,0.10360927152317884
62,51,40,43,39,33,92,64,36,30.33,30.17,30.04,10,10,7,10,2,14,0.10360927152317884
64,50,36,49,41,28,92,76,60,30.31,30.1,29.99,10,10,4,17,5,24,0
44,40,35,31,26,21,75,60,45,30.44,30.33,30.26,10,10,10,13,5,21,0
55,46,36,31,28,23,76,54,32,30.49,30.39,30.27,10,10,10,8,1,12,0
69,54,39,51,42,30,83,68,52,30.25,30.11,30.01,10,10,8,13,4,22,0
55,44,33,39,26,19,83,55,26,30.49,30.37,30.15,10,10,9,21,8,31,0
58,43,28,37,22,18,75,49,22,30.48,30.35,30.14,10,10,10,14,4,21,0
71,57,42,55,48,38,89,68,47,30.12,29.95,29.81,10,10,8,16,7,28,0
59,47,34,54,32,15,87,59,31,30.48,30.08,29.79,10,10,4,21,10,34,0
36,29,22,15,8,2,50,38,26,30.8,30.68,30.5,10,10,10,17,7,27,0
48,35,22,29,11,4,68,43,17,30.66,30.52,30.36,10,10,10,13,5,22,0
53,47,40,51,45,30,93,75,57,30.33,30.2,30.12,10,2,1,12,1,18,0.16
70,62,53,60,55,50,93,80,66,30.18,30.11,30.0,10,4,0,12,3,19,0
72,65,57,64,61,54,93,81,68,29.97,29.87,29.75,10,8,1,13,6,21,0.1
75,62,48,54,37,20,93,53,13,30.16,30.06,29.87,10,9,5,12,3,19,0
67,57,46,58,47,33,84,68,52,30.12,30.01,29.9,10,10,10,15,4,24,0.01
71,57,43,60,36,17,87,51,14,30.16,30.01,29.86,10,9,7,17,7,29,0
76,57,37,31,25,20,70,41,12,30.34,30.13,30.01,10,10,10,16,5,29,0
64,52,40,29,23,16,49,35,21,30.47,30.33,30.17,10,10,10,14,4,21,0
72,56,40,31,27,23,55,38,20,30.21,30.13,30.06,10,10,10,14,4,20,0
64,54,43,31,20,15,45,31,17,30.37,30.29,30.21,10,10,9,14,5,21,0
70,54,37,41,33,23,59,45,31,30.26,30.19,30.1,10,10,10,12,2,19,0
72,59,45,41,30,18,64,39,14,30.35,30.22,30.12,10,10,10,9,3,16,0
82,64,46,51,36,23,71,44,17,30.16,30.0,29.85,10,10,10,16,5,26,0
63,51,38,28,23,19,59,39,19,30.43,30.31,30.19,10,10,10,15,6,25,0
70,54,37,39,27,24,70,45,19,30.23,30.11,30.01,10,10,10,12,4,18,0
56,42,27,42,29,20,78,64,50,30.73,30.47,30.06,10,8,2,20,9,31,0.06
40,33,26,22,17,10,81,60,39,30.76,30.63,30.4,10,9,3,16,5,24,0.05
70,48,26,38,27,22,85,53,20,30.38,30.19,30.02,10,10,8,8,1,14,0
